1045	legal_department_management.ldm_rule_civ_1	Judgments of first-instance and personal-status courts; not in urgent matters.
248	legal_department_management.ldm_rule_civ_10	An agreed suspension lasts at most three months. The case must be resumed within 15 days after the suspension ends, or the petition is void. Counted from the end of the suspension.
968	legal_department_management.ldm_rule_civ_11	If the plaintiff does not continue the case within six months, the petition is void. Proposed from the session; move the start to the day the other question is decided if that is later.
148	legal_department_management.ldm_rule_civ_12	A case interrupted (death or loss of capacity of a party) and not continued within six months without an acceptable excuse is void. The interruption also halts the periods running in the case.
2386	legal_department_management.ldm_rule_civ_2	When the judgment rests on fraud or forgery, the period counts from the day it is discovered.
298	legal_department_management.ldm_rule_civ_3	Art. 204 also names judgments of first-instance courts. The period is proposed for judgments of the courts of appeal; add it by hand where cassation of a first-instance judgment applies.
2060	legal_department_management.ldm_rule_civ_4	The article's text is verified; applying it to personal-status judgments follows the Supreme Judicial Council's commentary.
2271	legal_department_management.ldm_rule_civ_5	Urgent and ancillary decisions such as a precautionary attachment. Add it to the matter from the decision's notification.
1479	legal_department_management.ldm_rule_civ_6	Once per party, and never later than six months after the decision.
564	legal_department_management.ldm_rule_civ_7	Counted from the day after the fraud or forgery is discovered or proven.
570	legal_department_management.ldm_rule_civ_8	Counted from the order, or from its notification.
2380	legal_department_management.ldm_rule_civ_9	When both parties are absent the court leaves the case for review; unless a party asks to renew it within the period, the petition is void. Older sources give 30 or 15 days: check the current text.
673	legal_department_management.ldm_rule_crm_1	Defamation, threats, some thefts and breaches of trust: the complaint must be made within three months of the day the victim learns of the offence.
2262	legal_department_management.ldm_rule_crm_2_felony	Unless the person convicted in absence surrenders or objects within the period, the judgment counts as given in presence.
2263	legal_department_management.ldm_rule_crm_2_violation	Unless the person convicted in absence surrenders or objects within the period, the judgment counts as given in presence. Added by hand: the court alone does not tell a violation from a misdemeanour.
565	legal_department_management.ldm_rule_crm_3	Counted from the day after the pronouncement when the judgment is given in presence, not from its notification; a judgment given in absence counts from the notification.
569	legal_department_management.ldm_rule_crm_4	Counted from the notification to the convicted person, or from the arrival of the papers at the trial court.
155	legal_department_management.ldm_rule_exe_1	A debtor who pays within the period is exempt from the collection fee. Older texts give other periods, and a government debtor may have 30 days (Art. 20): verify. Proposed when an execution stage records the date the notice was served.
1205	legal_department_management.ldm_rule_exe_3	Marking it met opens the cassation period, which waits for the date of the officer's decision.
349	legal_department_management.ldm_rule_exe_4	Before the court of appeal of the region, sitting in cassation. Counted from the decision.
1952	legal_department_management.ldm_rule_exe_5	Seven years from the last action on the file.
1387	legal_department_management.ldm_rule_lab_2	No primary citation yet: check the period against Labour Law 37 of 2015 before relying on it.
