1732	الأخيرة
37	%(ready)s من %(total)s مستمسكات سارية في %(date)s.
417	اختر حزمة مستمسكات، أو احفظ المستمسكات في سجلات الموكّل.
708	المستمسكات السارية في تاريخ معين
335	العودة إلى الجهة في %s
421	اختر مراجعة من مراجعات %s.
838	الرسم المدفوع: %s
842	الرسم: %s
870	المتابعة لدى %s
1188	سجّل مراجعة
1344	التالي: %(step)s في %(date)s
1528	تسجيل المراجعة من صلاحية الفريق القانوني فقط.
1720	الوصل %s
1723	رقم الوصل: %s
2067	الجهة بانتظار: %s
2101	لا يمكن أن يكون الرسم سالباً.
2304	المراجعة %(visit)s لدى %(body)s: %(result)s.
2306	مراجعة %s
2307	مراجعة الجهة
2520	الجهة
24	انتهت %(name)s في %(date)s: يُرد الطعن المقدَّم بعدها (المادة 171 من قانون المرافعات المدنية).
26	قُدّم %(name)s في %(date)s على الحكم الصادر في %(judgment)s. مرحلة التقاضي الجديدة: %(stage)s.
258	قُدّم طعن آخر: %s
433	اختر الطعن الذي قُدّم.
38	%(safe)s · آخر يوم قانونياً %(legal)s
432	اختر ما جرى في الجلسة.
585	جلسة %(date)s: %(outcome)s.
903	أدخل تاريخ الحكم.
904	أدخل تاريخ الجلسة القادمة.
1039	الحكم: %s.
1306	المطلوب قبلها: %s.
1307	مطلوب قبل جلسة %s.
1341	الجلسة القادمة: %s.
1393	لا تنطبق أي مدة قانونية على هذا الحكم.
1424	ملاحظة: %s
1489	تسجيل الحكم من صلاحية المحامي فقط.
1530	تسجيل الجلسة من صلاحية الفريق القانوني فقط.
1759	سُجّلت. الجلسة القادمة في %s.
2134	يجب أن تكون الجلسة القادمة بعد هذه الجلسة.
2207	هذه الجلسة مسجّلة مسبقاً. افتحها لتعديل ما كُتب.
2464	آخر موعد للإجراء %(safe)s · آخر يوم قانونياً %(legal)s
2465	آخر موعد للإجراء %s
2474	تُحتسب بعد إدخال تاريخ التبليغ
2516	مسجّلة
2171	يجب أن ينتهي الرول في يوم بدئه أو بعده.
1889	اذكر سبب التنازل عن الأقساط المتبقية.
99	(لا شيء)
426	اختر حساب المصروف، أو حدّد حساباً للفئة %s.
792	رُحّل المصروف %(name)s إلى الحسابات (%(ref)s).
2109	لا يوجد حساب افتراضي لليومية %s.
2185	هذه المصروفات مرحّلة مسبقاً، أو لم يدفعها المكتب.
5	رصيد أمانات %(client)s %(held)s فقط. دفع مبلغ أكبر يحتاج إلى موافقة المدير القانوني.
16	%(kind)s: %(amount)s. رصيد الأمانات الآن: %(held)s.
757	أدخل المبلغ.
1719	الوصل
1882	اذكر سبب السماح بنزول أمانات الموكّل تحت الصفر.
71	%s سطر
101	(الوصل %s)
346	حصة النقابة المستقطعة من الموكّل (5%%، أمر نقابة المحامين العراقيين 3021)
602	أنشئ الفواتير
607	إنشاء الفواتير يتطلب صلاحيات الفوترة (دور المحاسبة القانونية).
777	كل ما حُدّد مفوتر مسبقاً.
1001	أُعدّت الفاتورة %(invoice)s: %(amount)s.
1434	لا شيء بانتظار الفوترة هنا. تستحق الأقساط بوقوع أحداثها، ويحتاج الوقت إلى اعتماد، ويجب أن تكون المصروفات محمّلة على الموكّل.
2480	مسودة
67	%s ليس رقم هاتف يصل إليه واتساب. أدخله بصيغة 07XX XXX XXXX أو مع +964.
1243	أُرسلت رسالة إلى الموكّل عبر %(channel)s (%(to)s):
1244	راسل الموكّل
1248	مراسلة الموكّلين معطّلة في الإعدادات.
1529	مراسلة الموكّلين من صلاحية الفريق القانوني فقط.
2075	لا يوجد بريد إلكتروني للموكّل. أضفه في بيانات الموكّل، أو أرسل عبر واتساب.
2137	الرقم
2449	اكتب الرسالة أولاً.
2154	تنتهي الفترة قبل أن تبدأ.
428	اختر قالب الكتاب، أو ألغِ تأشير «حرّر مسودة الكتاب».
759	أدخل تاريخ الانتهاء الجديد الذي حدده المصرف: يجب أن يكون بعد %s.
821	مُدّد من %(old)s إلى %(new)s. %(note)s
825	طُلب التمديد من المصرف. %s
1792	أُطلق في %(date)s. %(note)s
419	اختر قالباً.
423	اختر الموكّل الذي يخصه الملف.
429	اختر نوع الملف: فهو يملأ الخطوات والمستمسكات المطلوبة.
947	إليك نتيجة طلبك.
1209	فُتح الملف %s من هذا الكتاب.
1522	لا يُرسل إلا مرفقات ملف الطلب.
1569	فُتح من الكتاب %s.
2196	هذا الكتاب مرتبط بـ%s مسبقاً.
8	انتقلت مسؤولية %(count)s ملف.
9	%(count)s وكالة باسم %(name)s: استصدر وكالات جديدة.
45	%s نشاط
46	%s موكّل
47	%s جلسة
50	%s مهلة
72	%s ملف
78	%s خطوة مفتوحة
80	%s طلب
431	اختر شخصين مختلفين.
598	يغطي %(taker)s عن %(giver)s حتى %(date)s:
936	سُلّم من %(giver)s إلى %(taker)s:
1437	لا شيء للتسليم بهذه الاختيارات.
1501	تسليم العمل من صلاحية المدير القانوني فقط.
2466	الأنشطة
2471	يصبح المسؤول
2473	الموكّلون
