1732	static/src/quick_create/quick_create.js	Recent
37	wizards/gov_readiness.py	%(ready)s of %(total)s documents are valid on %(date)s.
417	wizards/gov_readiness.py	Choose a document pack, or file documents in the client's records.
708	wizards/gov_readiness.py	Documents valid on a date
335	wizards/gov_visit.py	Back at the counter on %s
421	wizards/gov_visit.py	Choose a visit of %s.
838	wizards/gov_visit.py	Fee paid: %s
842	wizards/gov_visit.py	Fee: %s
870	wizards/gov_visit.py	Follow up at %s
1188	wizards/gov_visit.py	Log a visit
1344	wizards/gov_visit.py	Next: %(step)s on %(date)s
1528	wizards/gov_visit.py	Only the legal team can log a visit.
1720	wizards/gov_visit.py	Receipt %s
1723	wizards/gov_visit.py	Receipt number: %s
2067	wizards/gov_visit.py	The body is waiting for: %s
2101	wizards/gov_visit.py	The fee cannot be negative.
2304	wizards/gov_visit.py	Visit %(visit)s at %(body)s: %(result)s.
2306	wizards/gov_visit.py	Visit to %s
2307	wizards/gov_visit.py	Visit to the body
2520	wizards/gov_visit.py	the body
24	wizards/lit_challenge_wizard.py	%(name)s ended on %(date)s: a challenge lodged after that is rejected (Civil Procedure Law Art. 171).
26	wizards/lit_challenge_wizard.py	%(name)s lodged on %(date)s against the judgment of %(judgment)s. New court stage: %(stage)s.
258	wizards/lit_challenge_wizard.py	Another challenge was lodged: %s
433	wizards/lit_challenge_wizard.py	Choose which challenge was lodged.
38	wizards/lit_outcome_wizard.py	%(safe)s · legal last day %(legal)s
432	wizards/lit_outcome_wizard.py	Choose what happened at the session.
585	wizards/lit_outcome_wizard.py	Court session of %(date)s: %(outcome)s.
903	wizards/lit_outcome_wizard.py	Give the date of the judgment.
904	wizards/lit_outcome_wizard.py	Give the date of the next session.
1039	wizards/lit_outcome_wizard.py	Judgment: %s.
1306	wizards/lit_outcome_wizard.py	Needed before it: %s.
1307	wizards/lit_outcome_wizard.py	Needed before the court session of %s.
1341	wizards/lit_outcome_wizard.py	Next session: %s.
1393	wizards/lit_outcome_wizard.py	No statutory period applies to this judgment.
1424	wizards/lit_outcome_wizard.py	Note: %s
1489	wizards/lit_outcome_wizard.py	Only a lawyer can record a judgment.
1530	wizards/lit_outcome_wizard.py	Only the legal team can record a court session.
1759	wizards/lit_outcome_wizard.py	Recorded. Next session on %s.
2134	wizards/lit_outcome_wizard.py	The next session must come after this one.
2207	wizards/lit_outcome_wizard.py	This session is already recorded. Open it to change what was written.
2464	wizards/lit_outcome_wizard.py	act by %(safe)s · legal last day %(legal)s
2465	wizards/lit_outcome_wizard.py	act by %s
2474	wizards/lit_outcome_wizard.py	counted once the notification date is entered
2516	wizards/lit_outcome_wizard.py	recorded
2171	wizards/lit_roll_wizard.py	The roll must end on or after the day it starts.
1889	wizards/money_decision_wizard.py	Say why the remaining instalments are waived.
99	wizards/money_expense_post_wizard.py	(none)
426	wizards/money_expense_post_wizard.py	Choose the expense account, or give the category %s an account.
792	wizards/money_expense_post_wizard.py	Expense %(name)s posted to accounting (%(ref)s).
2109	wizards/money_expense_post_wizard.py	The journal %s has no default account.
2185	wizards/money_expense_post_wizard.py	These expenses are already posted, or were not paid by the office.
5	wizards/money_fund_wizard.py	%(client)s holds only %(held)s. A legal manager must approve paying out more.
16	wizards/money_fund_wizard.py	%(kind)s: %(amount)s. Client money held now: %(held)s.
757	wizards/money_fund_wizard.py	Enter the amount.
1719	wizards/money_fund_wizard.py	Receipt
1882	wizards/money_fund_wizard.py	Say why the client's money may go below zero.
71	wizards/money_invoice_wizard.py	%s lines
101	wizards/money_invoice_wizard.py	(receipt %s)
346	wizards/money_invoice_wizard.py	Bar share withheld by the client (5%%, Iraqi Bar order 3021)
602	wizards/money_invoice_wizard.py	Create invoices
607	wizards/money_invoice_wizard.py	Creating invoices needs invoicing rights (the Billing role).
777	wizards/money_invoice_wizard.py	Everything selected has already been invoiced.
1001	wizards/money_invoice_wizard.py	Invoice %(invoice)s prepared: %(amount)s.
1434	wizards/money_invoice_wizard.py	Nothing is waiting to be invoiced here. Instalments fall due with their events, time needs approving, and expenses must be recharged to the client.
2480	wizards/money_invoice_wizard.py	draft
67	wizards/money_message_wizard.py	%s is not a phone number WhatsApp can reach. Enter it as 07XX XXX XXXX or with +964.
1243	wizards/money_message_wizard.py	Message sent to the client by %(channel)s (%(to)s):
1244	wizards/money_message_wizard.py	Message the client
1248	wizards/money_message_wizard.py	Messages to clients are switched off in Settings.
1529	wizards/money_message_wizard.py	Only the legal team can message clients.
2075	wizards/money_message_wizard.py	The client has no email address. Add it on the client, or send by WhatsApp.
2137	wizards/money_message_wizard.py	The number
