1097	legal_department_management.field_legal_request__ldm_is_requester	Ldm Is Requester
887	legal_department_management.field_legal_request__legal_company_id	For which company
1214	legal_department_management.field_legal_request__matter_number	Matter number
2354	legal_department_management.field_legal_request__name	What do you need?
1309	legal_department_management.field_legal_request__needed_by	Needed by
1056	legal_department_management.field_legal_request__request_type	Kind of help
859	legal_department_management.field_legal_request_result_wizard__attachment_ids	Files to send
327	legal_department_management.field_legal_request_result_wizard__available_attachment_ids	Available Attachment
1030	legal_department_management.field_legal_task__account_move_id	Journal entry (legacy)
1627	legal_department_management.field_legal_task__account_payment_id	Payment (legacy)
282	legal_department_management.field_legal_task__approval_note	Approval note
284	legal_department_management.field_legal_task__approval_requested_by_id	Approval requested by
486	legal_department_management.field_legal_task__close_note	Closing note
496	legal_department_management.field_legal_task__committee_member_ids	Committee members
473	legal_department_management.field_legal_task__company_name	Client name (legacy)
508	legal_department_management.field_legal_task__compensation_amount	Compensation ordered
550	legal_department_management.field_legal_task__contract_end	Contract end
553	legal_department_management.field_legal_task__contract_start	Contract start
573	legal_department_management.field_legal_task__counterparty_id	Counterparty
575	legal_department_management.field_legal_task__court_case_number	Court case number
484	legal_department_management.field_legal_task__date_closed	Closed on
1572	legal_department_management.field_legal_task__date_opened	Opened on
976	legal_department_management.field_legal_task__date_state_changed	In this status since
2018	legal_department_management.field_legal_task__date_submitted	Submitted to the body on
2439	legal_department_management.field_legal_task__days_at_body	Working days at the body
665	legal_department_management.field_legal_task__decision_date	Decision date
666	legal_department_management.field_legal_task__decision_number	Decision number
362	legal_department_management.field_legal_task__department_name	Body name (legacy)
745	legal_department_management.field_legal_task__employees_concerned	Employees concerned
794	legal_department_management.field_legal_task__expense_account_id	Expense account (legacy)
797	legal_department_management.field_legal_task__expense_ids	Expense lines
1588	legal_department_management.field_legal_task__issuing_authority	Ordered by
1040	legal_department_management.field_legal_task__judgment_ids	Judgments
369	legal_department_management.field_legal_task__law_branch	Branch of law
2045	legal_department_management.field_legal_task__lawyer_ids	Team
1920	legal_department_management.field_legal_task__ldm_approval_requested_date	Sent for approval on
261	legal_department_management.field_legal_task__ldm_body_due_date	Answer expected by
1089	legal_department_management.field_legal_task__ldm_can_decide	Ldm Can Decide
1091	legal_department_management.field_legal_task__ldm_can_issue_opinion	Ldm Can Issue Opinion
1093	legal_department_management.field_legal_task__ldm_can_request_approval	Ldm Can Request Approval
487	legal_department_management.field_legal_task__ldm_cockpit	Cockpit
1071	legal_department_management.field_legal_task__ldm_conflict_check_id	Latest conflict check
1455	legal_department_management.field_legal_task__ldm_invoice_count	Number of invoices
1392	legal_department_management.field_legal_task__ldm_no_signed_agreement	No signed fee agreement
1567	legal_department_management.field_legal_task__ldm_obligation_id	Opened for obligation
1470	legal_department_management.field_legal_task__ldm_obligation_period	Obligation due on
1563	legal_department_management.field_legal_task__ldm_open_visit_count	Open visits
312	legal_department_management.field_legal_task__ldm_past_target	At the body past target
