1927	models/gov_bodies.py	Services at %s
1322	models/gov_coverage.py	New matter: %s
4	models/gov_documents.py	%(client)s has no valid “%(type)s” in its records. Collect it and add it to the matter.
25	models/gov_documents.py	%(name)s expired on %(date)s.
506	models/gov_documents.py	Company records are switched off in Settings.
1484	models/gov_documents.py	Only a lawyer can add documents to a client's records.
1509	models/gov_documents.py	Only a received document with a document type can be filed in the client's records.
1728	models/gov_documents.py	Receive “%s” before asking the issuing body to confirm it.
2189	models/gov_documents.py	This document is not part of %s.
63	models/gov_matters.py	%s is closed; reopen it before logging a visit.
694	models/gov_matters.py	Document expires: %(name)s — %(number)s
2547	models/gov_matters.py	“%s” is already done.
2549	models/gov_matters.py	“%s” is not a visit to a body.
34	models/gov_obligations.py	%(obligation)s — due %(date)s
430	models/gov_obligations.py	Choose the type of matter this obligation opens first.
1228	models/gov_obligations.py	Matters for %s
1488	models/gov_obligations.py	Only a lawyer can open a matter for an obligation.
1568	models/gov_obligations.py	Opened for the recurring obligation “%(obligation)s”, due %(date)s.
1944	models/gov_obligations.py	Set the next due date first.
2094	models/gov_obligations.py	The day of an obligation must be between 1 and 31.
2123	models/gov_obligations.py	The matter cannot be opened after the due date.
2132	models/gov_obligations.py	The month of a yearly obligation must be between 1 and 12.
213	models/gov_reference.py	Added %(ministries)s ministries and authorities, %(bodies)s government bodies, %(courts)s courts, %(types)s document types and %(services)s government services. Already there and kept: %(old)s records.
1013	models/gov_reference.py	Iraqi reference library loaded
1503	models/gov_reference.py	Only a legal manager can load the reference library.
2169	models/gov_reference.py	The reference library was already loaded
10	models/gov_vault.py	%(document)s expires on %(date)s
33	models/gov_vault.py	%(obligation)s is due on %(date)s
692	models/gov_vault.py	Document
706	models/gov_vault.py	Documents of %s
1800	models/gov_vault.py	Renew %(document)s of %(client)s
1229	models/legal_company.py	Matters of %s
1497	models/legal_company.py	Only a legal manager can delete a client. Archive it instead.
1526	models/legal_company.py	Only the lawyer responsible for %s or a legal manager can change who looks after it.
424	models/legal_company_report_wizard.py	Choose the client.
147	models/legal_department.py	A body named “%s” already exists.
153	models/legal_department.py	A court cannot be its own higher court.
1225	models/legal_department.py	Matters at %s
2545	models/legal_department.py	“%(name)s” already exists under %(ministry)s.
73	models/legal_general_report_wizard.py	%s matters selected in the list.
2098	models/legal_general_report_wizard.py	The end date is before the start date.
2129	models/legal_general_report_wizard.py	The matters of the filtered list.
167	models/legal_ministry.py	A ministry or authority named “%s” already exists.
681	models/legal_ministry.py	Departments of %s
20	models/legal_task.py	%(matter)s cannot go from “%(old)s” to “%(new)s”.
54	models/legal_task.py	%s has no planned court session.
55	models/legal_task.py	%s is already approved or waiting for approval.
59	models/legal_task.py	%s is approved: only a legal manager can change its client, type or body.
60	models/legal_task.py	%s is approved; reset its approval before sending it back to New.
69	models/legal_task.py	%s is not waiting for approval.
75	models/legal_task.py	%s needs approval before work starts. Send it for approval first.
285	models/legal_task.py	Approval reset by %s.
288	models/legal_task.py	Approve %s
291	models/legal_task.py	Approved by %s.
380	models/legal_task.py	Cancel matter
427	models/legal_task.py	Choose the government body for %s before starting it.
479	models/legal_task.py	Close matter
583	models/legal_task.py	Court session
587	models/legal_task.py	Court session on %(date)s — %(number)s
640	models/legal_task.py	Deadline: %(name)s — %(number)s
641	models/legal_task.py	Deadline: %s
711	models/legal_task.py	Done
1210	models/legal_task.py	Matter cancelled: %s
1211	models/legal_task.py	Matter closed: %(outcome)s. %(note)s
1239	models/legal_task.py	Meeting
1486	models/legal_task.py	Only a lawyer can cancel a matter.
1499	models/legal_task.py	Only a legal manager can delete a matter. Cancel or archive it instead.
1504	models/legal_task.py	Only a legal manager can move %(matter)s back to “%(new)s”.
1506	models/legal_task.py	Only a legal manager can reset an approval.
1515	models/legal_task.py	Only an approver can decide on a matter.
1525	models/legal_task.py	Only the lawyer responsible for %s or a legal manager can change its team or make it confidential.
1532	models/legal_task.py	Only the people working on %s can send it for approval.
1781	models/legal_task.py	Reject
1785	models/legal_task.py	Rejected by %(user)s: %(note)s
1886	models/legal_task.py	Say why the matter is cancelled.
1887	models/legal_task.py	Say why the matter is rejected.
1921	models/legal_task.py	Sent for approval.
